iter	Passed	Remaining
0	1	128
1	2	117
2	3	111
3	4	103
4	5	101
5	6	100
6	7	100
7	8	99
8	9	98
9	10	97
10	11	96
11	12	94
12	13	93
13	15	93
14	16	91
15	17	90
16	18	89
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	72
32	35	71
33	36	70
34	37	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
